vehicle_id	차량_ID
basic_info	차량기본정보
special_usage_history	특수용도이력
special_accident_history	특수사고이력
registration_change_history	등록_소유자변경이력
insurance_accident_history	보험사고이력_상세
exterior_options	외장옵션
interior_options	내장옵션
safety_options	안전옵션
convenience_options	편의옵션
seller_info	판매자정보
inspection_record	상태점검기록부
summary_text	차량_요약_텍스트
model_name	모델명
manufacturer	제조사
first_registration_date	최초등록일
vin	차대번호
transmission_type	변속기_종류
exterior_color	외관_색상
interior_color	내장_색상
displacement_cc	배기량_cc
engine_type	원동기_형식
usage_type	용도
fuel_type	연료
first_insurance_date	최초_보험_가입일자
year	연식
mileage_km	주행거리_km
mileage_status	주행거리_상태
rental_car_used	렌트카_사용
taxi_used	택시_사용
government_used	관용용도_사용
description	설명
total_loss_accident	전손_보험사고
theft_accident	도난_보험사고
flood_accident	침수_보험사고
occurred	발생여부
description	설명
accident_date	사고일자
my_car_damage	내차피해
occurred	발생여부
repair_estimate_krw	수리견적_원
parts_cost_krw	부품비_원
labor_cost_krw	공임비_원
painting_cost_krw	도장비_원
repair_details	수리내용
damaged_parts	손상부위
opponent_insurance	상대방_보험처리
property_damage_covered	대물가해_여부
my_insurance_processed	내차보험처리_여부
roof_rack	루프랙
integrated_turn_signal	방향지시등_일체형
side_mirror	사이드미러
type	종류
heated	열선
reverse_angle_adjustment	후진각도조절
auto_folding	자동_접이
sunroof	선루프
installed	장착
dual_sunroof	듀얼_선루프
windshield	앞유리
wiper_defrost	와이퍼_결빙장치
uv_protection	자외선_차단
rain_sensing_wiper	우적감지_와이퍼
wheel_tire	휠_타이어
alloy_wheel	알루미늄휠
wide_tire	광폭타이어
headlamp	헤드램프
led_headlamp	LED_헤드램프
adaptive_headlamp	어댑티브_헤드램프
high_beam_assist	하이빔_어시스트
rearview_mirror	룸미러
electronic_ecm	전자식_ECM
hipass_integrated	하이패스_내장
seats	시트
leather_seats	가죽시트
power_seats_driver	전동시트_운전석
heated_seats_front	열선시트_앞
memory_seats_driver	메모리시트_운전석
ventilated_seats_driver	통풍시트_운전석
steering_wheel	스티어링휠
material	재질
heated	열선내장
telescopic	텔레스코픽
speed_sensitive	속도감응식
brake	브레이크
electronic_parking	전자식_파킹
airbags	에어백
driver	운전석
passenger	동승석
side	사이드
curtain	커튼
knee	무릎보호
total_count	총_개수
driving_safety	주행_안전장치
abs	ABS
esc_vdc_esp	ESC_VDC_ESP
tcs	TCS
vsm	VSM
sensors_cameras	감지_카메라
front_sensor	전방감지센서
rear_camera	후방카메라
around_view_avm	어라운드뷰_AVM
advanced_assistance	첨단_보조시스템
bsd	후측방경보_BSD
ldws	차선이탈경보_LDWS
lkas	차선유지지원_LKAS
fcw	전방충돌경보_FCW
aeb	자동긴급제동_AEB
tpms	타이어공기압경고_TPMS
head_up_display	헤드업_디스플레이
climate_control	공조장치
full_auto_air_conditioner	풀오토에어컨
air_purifier	공기청정기
start_lock	시동_잠금
smart_key	스마트키
button_start	버튼시동
driving_convenience	주행_편의
steering_wheel_remote	스티어링휠_리모컨
power_trunk	전동식_파워트렁크
auto_parking_aspas	자동주차보조시스템_ASPAS
cruise_control_type	크루즈컨트롤_종류
multimedia	멀티미디어
navigation	내비게이션
bluetooth	블루투스
usb	USB
speaker	스피커
dealer_name	딜러명
contact_person	담당자명
phone	연락처
recommendation	추천사유
overall_condition	종합상태
mileage_tampering	주행거리_조작여부
emission	배출가스
carbon_monoxide	일산화탄소
hydrocarbon	탄화수소
smoke	매연
tuning_history	튜닝이력
exists	존재여부
accident_exchange_repair_history	사고_교환_수리이력
exterior_panels	외판부위
hood	후드
front_fender_left	프론트휀더_좌
front_fender_right	프론트휀더_우
main_frame	주요골격
front_panel	프론트패널
side_member_left	사이드멤버_좌
